description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires,solution,prevention,duree
Demande d'intervention : le pc redémarre aléatoirement depuis hier.,hardware,reparation,normale,Vieillissement de la batterie,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Demande d'intervention : le téléphone ip ne se connecte plus depuis hier.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,4.0
Demande d'intervention : le système de sauvegarde automatique est arrêté,software,configuration,normale,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Créer des points de restauration avant toute modification système.,1.0
Le client indique que microsoft Office ne s'ouvre plus,software,reparation,normale,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,2.5
Suite à un appel client : le bloc d'alimentation émet des odeurs Cela bloque le travail.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Demande d'intervention : le processeur est surchargé température critique depuis ce matin.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,3.0
Problème signalé : le disque dur fait un bruit de cliquetis Le client a besoin d'aide.,hardware,maintenance,haute,Court-circuit dans l'alimentation,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,1.5
L'alimentation électrique ne démarre pas depuis hier.,hardware,maintenance,faible,Dommage physique suite à choc,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,0.5
Signalement client : la carte graphique ne s'affiche plus Le client est inquiet.,hardware,maintenance,faible,Connexion interne défaillante,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Intervention requise : le logiciel erp ne se lance plus Cela se produit souvent.,software,configuration,faible,Surcharge mémoire et fragmentation,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Créer des points de restauration avant toute modification système.,0.5
La webcam intégrée n'est plus détectée Merci d'intervenir rapidement.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.0
Demande d'intervention : la carte réseau intégrée ne fonctionne plus Problème urgent.,hardware,reparation,critique,Court-circuit dans l'alimentation,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.0
Le client indique que problème de DNS sites web ne chargent pas depuis hier.,reseau,configuration,faible,Problème de sécurité réseau,Réseau,"[""Câble RJ45 5m""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,2.0
Excel affiche des erreurs de calcul Le client est inquiet.,software,reparation,haute,Infection par malware ou virus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.0
L'écran tactile ne répond plus Cela bloque le travail.,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Le touchpad du laptop est bloqué,hardware,reparation,critique,Défaillance matérielle due à l'usure,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Signalement client : le système affiche une erreur de registre Cela se produit souvent.,software,reparation,haute,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,2.5
Client signale : windows update bloqué depuis plusieurs jours Cela se produit souvent.,software,configuration,critique,Corruption du système d'exploitation,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.0
Signalement client : l'ordinateur ne démarre plus du tout Merci d'intervenir rapidement.,hardware,reparation,critique,Court-circuit dans l'alimentation,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.0
Intervention requise : récupération de données après formatage Cela se produit souvent.,software,installation,critique,Infection par malware ou virus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,1.0
Intervention requise : installation d'un nouveau routeur fibre Le client a besoin d'aide.,reseau,installation,faible,Interférence WiFi avec autres équipements,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Vérifier régulièrement les câbles et connexions réseau.,4.0
L'ordinateur chauffe excessivement Cela bloque le travail.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.5
Intervention requise : le routeur ne distribue plus d'adresses ip,reseau,depannage,faible,Équipement réseau défaillant,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Vérifier régulièrement les câbles et connexions réseau.,1.5
Problème signalé : le logiciel de facturation perd ses données Le client a besoin d'aide.,software,configuration,faible,Licence expirée ou fichiers corrompus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Problème signalé : l'ordinateur ne démarre plus du tout Cela bloque le travail.,hardware,reparation,critique,Composant électronique endommagé,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.5
Suite à un appel client : sécurisation contre les intrusions réseau Le client est inquiet.,reseau,depannage,normale,Câblage endommagé ou mal branché,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,0.5
Adobe Acrobat plante à l'ouverture,software,installation,haute,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,1.5
Le switch réseau tombe en panne Cela bloque le travail.,reseau,depannage,normale,Câblage endommagé ou mal branché,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Mettre à jour le firmware des équipements réseau.,0.5
Le client se plaint que l'écran reste noir après allumage Le client est inquiet.,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,1.5
Le système affiche une erreur de registre Cela se produit souvent.,software,configuration,haute,Conflit entre logiciels installés,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.5
Demande d'intervention : la souris ne répond plus Problème urgent.,hardware,reparation,haute,Composant électronique endommagé,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,3.0
